FLOOR,FLOOR_TYPE,FANS,LIGHTS,WIFI,PROJECTOR,SCREENS,Fan_Power_W,Fan_Cost_Peak_7hr_₹,Fan_Cost_Day_₹,Fan_Monthly_Bill_₹,Light_Power_W,Light_Cost_Peak_7hr_₹,Light_Cost_Day_₹,Light_Monthly_Bill_₹,WIFI_PROJ_Power_W,WIFI_PROJ_Cost_Peak_7hr_₹,WIFI_PROJ_Cost_Day_₹,WIFI_PROJ_Monthly_Bill_₹,Screen_Power_W,Screen_Cost_Peak_7hr_₹,Screen_Cost_Day_₹,Screen_Monthly_Bill_₹,NEW_COST_daily_TOD_₹,NEW_COST_per_month_TOD_₹
G-01,Ground,6,3,1,1,0,450,34.34,38.34,996.84,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,61.34,1594.94
F-01,Upper/First,6,3,1,1,0,450,34.34,38.34,996.84,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,61.34,1594.94
G-02,Ground,6,3,1,1,0,450,34.34,38.34,996.84,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,61.34,1594.94
F-02,Upper/First,6,3,1,1,0,450,34.34,38.34,996.84,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,61.34,1594.94
G-03,Ground,0,0,1,1,0,0,0,0,0,0,0,0,0,210,16.02,17.89,465.19,0,0,0,0,17.89,465.19
F-03,Upper/First,4,0,1,1,1,300,22.89,25.56,664.56,0,0,0,0,210,16.02,17.89,465.19,250,19.08,21.3,553.8,64.75,1683.55
G-04,Ground,0,0,1,1,0,0,0,0,0,0,0,0,0,210,16.02,17.89,465.19,0,0,0,0,17.89,465.19
F-04,Upper/First,16,0,1,1,1,1200,91.56,102.24,2658.24,0,0,0,0,210,16.02,17.89,465.19,250,19.08,21.3,553.8,141.43,3677.23
G-05,Ground,7,4,1,1,0,525,40.06,44.73,1162.98,80,6.1,6.82,177.22,210,16.02,17.89,465.19,0,0,0,0,69.44,1805.39
F-05,Upper/First,7,4,1,1,0,525,40.06,44.73,1162.98,80,6.1,6.82,177.22,210,16.02,17.89,465.19,0,0,0,0,69.44,1805.39
G-06,Ground,6,4,1,1,0,450,34.34,38.34,996.84,80,6.1,6.82,177.22,210,16.02,17.89,465.19,0,0,0,0,63.05,1639.25
F-06,Upper/First,8,4,1,1,0,600,45.78,51.12,1329.12,80,6.1,6.82,177.22,210,16.02,17.89,465.19,0,0,0,0,75.83,1971.53
G-07,Ground,8,8,1,1,0,600,45.78,51.12,1329.12,160,12.21,13.63,354.43,210,16.02,17.89,465.19,0,0,0,0,82.64,2148.74
F-07,Upper/First,8,8,1,1,0,600,45.78,51.12,1329.12,160,12.21,13.63,354.43,210,16.02,17.89,465.19,0,0,0,0,82.64,2148.74
G-08,Ground,8,8,1,1,0,600,45.78,51.12,1329.12,160,12.21,13.63,354.43,210,16.02,17.89,465.19,0,0,0,0,82.64,2148.74
F-08,Upper/First,8,8,1,1,0,600,45.78,51.12,1329.12,160,12.21,13.63,354.43,210,16.02,17.89,465.19,0,0,0,0,82.64,2148.74
G-09,Ground,6,4,1,1,0,450,34.34,38.34,996.84,80,6.1,6.82,177.22,210,16.02,17.89,465.19,0,0,0,0,63.05,1639.25
F-09,Upper/First,9,4,1,1,0,675,51.5,57.51,1495.26,80,6.1,6.82,177.22,210,16.02,17.89,465.19,0,0,0,0,82.22,2137.67
G-10,Ground,0,0,1,1,0,0,0,0,0,0,0,0,0,210,16.02,17.89,465.19,0,0,0,0,17.89,465.19
F-10,Upper/First,0,0,1,1,0,0,0,0,0,0,0,0,0,210,16.02,17.89,465.19,0,0,0,0,17.89,465.19
G-11,Ground,6,4,1,1,0,450,34.34,38.34,996.84,80,6.1,6.82,177.22,210,16.02,17.89,465.19,0,0,0,0,63.05,1639.25
